ID,Año_del_hecho,Sexo_de_la_victima,Grupo_de_edad_de_la_victima,Mes_del_hecho,Dia_del_hecho,Departamento_del_hecho,Municipio_del_hecho,Lesion_fatal_de_causa_externa,Estado
1,2016,Hombre,(25 a 29),Enero,Jueves,Meta,Acacías,Violenta - Homicidios,Datos definitivos
2,2016,Hombre,(20 a 24),Enero,Miércoles,Meta,Acacías,Violenta - Homicidios,Datos definitivos
3,2016,Hombre,(65 a 69),Enero,Miércoles,Meta,Acacías,Violenta - Homicidios,Datos definitivos
4,2016,Mujer,(10 a 14),Enero,Miércoles,Meta,Acacías,Violenta - Homicidios,Datos definitivos
5,2016,Hombre,(50 a 54),Enero,Martes,Cesar,Aguachica,Violenta - Homicidios,Datos definitivos
6,2016,Hombre,(20 a 24),Enero,Miércoles,Norte de Santander,Teorama,Violenta - Homicidios,Datos definitivos
7,2016,Hombre,(50 a 54),Enero,Lunes,Cesar,Aguachica,Violenta - Homicidios,Datos definitivos
8,2016,Hombre,(40 a 44),Enero,Viernes,Cesar,Aguachica,Violenta - Homicidios,Datos definitivos
9,2016,Hombre,(40 a 44),Enero,Viernes,Antioquia,Andes,Violenta - Homicidios,Datos definitivos
10,2016,Hombre,(20 a 24),Enero,Domingo,Antioquia,Andes,Violenta - Homicidios,Datos definitivos
11,2016,Hombre,(20 a 24),Enero,Sábado,Antioquia,Apartadó,Violenta - Homicidios,Datos definitivos
12,2016,Hombre,(45 a 49),Enero,Miércoles,Antioquia,Apartadó,Violenta - Homicidios,Datos definitivos
13,2016,Hombre,(15 a 17),Enero,Domingo,Antioquia,Apartadó,Violenta - Homicidios,Datos definitivos
14,2016,Hombre,(18 a 19),Enero,Domingo,Antioquia,Apartadó,Violenta - Homicidios,Datos definitivos
15,2016,Hombre,(35 a 39),Enero,Sábado,Risaralda,Apía,Violenta - Homicidios,Datos definitivos
16,2016,Hombre,(35 a 39),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
17,2016,Hombre,(30 a 34),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
18,2016,Hombre,(30 a 34),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
19,2016,Hombre,(25 a 29),Enero,Sábado,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
20,2016,Hombre,(50 a 54),Enero,Martes,Quindío,Calarcá,Violenta - Homicidios,Datos definitivos
21,2016,Hombre,(30 a 34),Enero,Miércoles,Quindío,Calarcá,Violenta - Homicidios,Datos definitivos
22,2016,Hombre,(20 a 24),Enero,Miércoles,Quindío,Montenegro,Violenta - Homicidios,Datos definitivos
23,2016,Hombre,(15 a 17),Enero,Miércoles,Quindío,Montenegro,Violenta - Homicidios,Datos definitivos
24,2016,Hombre,(20 a 24),Enero,Sábado,Quindío,Montenegro,Violenta - Homicidios,Datos definitivos
25,2016,Hombre,(18 a 19),Enero,Sábado,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
26,2016,Hombre,(55 a 59),Enero,Martes,Quindío,Montenegro,Violenta - Homicidios,Datos definitivos
27,2016,Hombre,(40 a 44),Enero,Jueves,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
28,2016,Hombre,(70 a 74),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
29,2016,Hombre,(25 a 29),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
30,2016,Hombre,(30 a 34),Enero,Sábado,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
31,2016,Hombre,(25 a 29),Enero,Sábado,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
32,2016,Hombre,(15 a 17),Enero,Domingo,Quindío,Calarcá,Violenta - Homicidios,Datos definitivos
33,2016,Hombre,(20 a 24),Enero,Domingo,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
34,2016,Hombre,(40 a 44),Enero,Domingo,Quindío,Calarcá,Violenta - Homicidios,Datos definitivos
35,2016,Hombre,(50 a 54),Enero,Lunes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
36,2016,Hombre,(50 a 54),Enero,Lunes,Quindío,Montenegro,Violenta - Homicidios,Datos definitivos
37,2016,Hombre,(40 a 44),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
38,2016,Hombre,(30 a 34),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
39,2016,Hombre,(20 a 24),Enero,Martes,Quindío,Calarcá,Violenta - Homicidios,Datos definitivos
40,2016,Hombre,(30 a 34),Enero,Miércoles,Quindío,Quimbaya,Violenta - Homicidios,Datos definitivos
41,2016,Hombre,(25 a 29),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
42,2016,Hombre,(40 a 44),Enero,Sábado,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
43,2016,Mujer,(40 a 44),Enero,Domingo,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
44,2016,Hombre,(20 a 24),Enero,Domingo,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
45,2016,Hombre,(20 a 24),Enero,Lunes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
46,2016,Hombre,(10 a 14),Enero,Martes,Quindío,Quimbaya,Violenta - Homicidios,Datos definitivos
47,2016,Hombre,(20 a 24),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
48,2016,Hombre,(20 a 24),Enero,Miércoles,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
49,2016,Hombre,(25 a 29),Enero,Jueves,Quindío,Génova,Violenta - Homicidios,Datos definitivos
50,2016,Hombre,(45 a 49),Enero,Viernes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
51,2016,Hombre,(20 a 24),Enero,Viernes,Quindío,La Tebaida,Violenta - Homicidios,Datos definitivos
52,2016,Hombre,(35 a 39),Enero,Jueves,Santander,Barbosa,Violenta - Homicidios,Datos definitivos
53,2016,Hombre,(18 a 19),Enero,Viernes,Santander,Barrancabermeja,Violenta - Homicidios,Datos definitivos
54,2016,Hombre,(18 a 19),Enero,Sábado,Santander,Barrancabermeja,Violenta - Homicidios,Datos definitivos
55,2016,Hombre,(25 a 29),Enero,Domingo,Santander,Puerto Parra,Violenta - Homicidios,Datos definitivos
